group, axis, value, description
1 to 25,Teaching,81.02,
26 to 50,Teaching,61.53,
51 to 75,Teaching,51.21,
76 to 100,Teaching,43.02,
1 to 25,International,66.63,
26 to 50,International,60.28,
51 to 75,International,62.70,
76 to 100,International,54.73,
1 to 25,Research,87.58,
26 to 50,Research,67.41,
51 to 75,Research,54.07,
76 to 100,Research,44.95,
1 to 25,Citations,92.18,
26 to 50,Citations,82.08,
51 to 75,Citations,79.10,
76 to 100,Citations,81.77,
1 to 25,Income,62.06,
26 to 50,Income,59.18,
51 to 75,Income,62.73,
76 to 100,Income,52.87,
1 to 25,Total Score,84.79,
26 to 50,Total Score,69.29,
51 to 75,Total Score,61.58,
76 to 100,Total Score,56.33,
