year,world_rank,teaching,international,research,citations,income,student_staff_ratio,total_score
2011,1,99.7,72.4,98.7,98.8,34.5,8.9,96.1
2011,2,97.7,54.6,98,99.9,83.7,6.9,96
2011,3,97.8,82.3,91.4,99.9,87.5,9,95.6
2011,4,98.3,29.5,98.1,99.2,64.3,7.8,94.3
2011,13,80.9,58.5,89.2,92.3,100,3.6,86.4
2011,14,82.2,62.4,88.8,88.1,34.7,10.2,83.9
2011,15,83.9,53.3,89.1,84.1,59.6,9,83.4
2011,19,71.8,32.9,82.7,93.6,43.7,6.5,79.5
2011,20,70.3,39.1,79.3,95.7,53.7,13.1,79.3
2011,23,68.2,49,77.1,95.9,32.8,11.8,78
2011,24,66.8,49.4,71.5,92.3,100,4.8,76.5
2011,27,67.9,73.2,72.6,83.2,95.1,20.1,75.3
2011,29,56.6,64.3,68,98.8,89.8,27.3,75
2011,30,70.9,21.5,75.1,85,50.2,7.3,73.8
2011,32,59.8,31.6,76.3,90.8,51.8,6.5,73.2
2011,47,57.4,31.2,50.6,99.1,29.2,9,66.9
2011,51,64.9,22.1,59.5,78.1,84.2,3.6,65.9
2011,54,57.3,60.5,70.7,68.8,48,13.9,65
2011,56,61.3,22.6,72.6,67.9,53.9,13,64.7
2011,59,53.6,38.1,51.9,91.4,29.6,8.6,64
2011,64,58.5,25.2,58.3,78.3,37.9,5.8,62.7
2011,95,52.4,21.9,52.2,70.1,84.2,12.7,57.3
2011,109,46.3,19.9,49.2,77.6,44,12.4,56
2011,117,38.6,63,47.4,78.3,30.5,22,55.1
2011,156,49.3,23.2,49.6,58.2,49.6,17.4,51
2011,159,38.4,16.8,51.9,61.3,100,15.9,50.4
2011,190,45,60.6,35.9,58.2,27.4,10.8,46.9
2011,190,43.6,18.9,40.4,61.5,32.5,15.7,46.9
2011,196,33.5,15.9,33.3,76.8,26.3,19,46.5
2012,1,95.7,56,98.2,99.9,97,6.9,94.8
2012,2,95.8,67.5,97.4,99.8,35.9,8.9,93.9
2012,2,94.8,57.2,98.9,99.8,63.8,7.8,93.9
2012,5,91.5,49.6,99.1,100,81,8.4,92.9
2012,7,92.7,79.2,87.4,100,94.4,9,92.3
2012,10,82.8,50.4,99.4,99.4,62.5,16.4,89.8
2012,11,92.3,55.5,91.2,96.7,34.7,4.4,89.1
2012,14,78.9,59.9,86.5,97.3,100,3.6,85.8
2012,16,87,34.3,86.1,97.9,41.9,6.5,84.9
2012,18,75.4,47.2,90,94.3,53.3,9,82.8
2012,21,65.7,55,79.5,97.4,60.7,13.1,78.4
2012,22,62.6,46.9,77.9,97.4,100,4.8,77.4
2012,24,66.6,65,73.8,91.9,99.2,20.1,77
2012,25,70.8,36.9,74,98.2,31.8,11.8,76.5
2012,26,66.3,35.3,75.5,98.6,56.6,13.8,76.2
2012,27,74.3,23.8,77.3,90.6,55.3,10.8,75.8
2012,29,69.5,38.8,76.1,89.6,57.7,17.4,74.9
2012,33,61.4,31.5,72,97.8,51.8,6.5,73
2012,35,55,52.6,65.3,99.9,85,27.3,72.1
2012,38,68,51.4,68.7,83.4,52.5,13.9,71.2
2012,43,67.6,20.2,62.6,92.6,35.5,7.3,69.3
2012,44,60.2,38.1,65.4,92.3,30.9,6.8,69
2012,49,59.8,33.4,53.6,93.9,34.9,10.1,65.6
2012,51,53.5,29.5,66.7,83.4,61.6,12.4,64.9
2012,54,60.7,37.2,46.2,95.6,27.6,8.6,64.2
2012,55,65.8,41.1,48.7,80.2,99.3,12.9,64
2012,57,61.8,42.2,56.2,77.5,49.9,13.4,63
2012,59,54.3,26.5,53.9,88.7,37.5,5.8,62
2012,64,54,27.3,58.3,80.1,53.2,13,61.1
2012,70,52.1,26.8,47.6,86.8,64.4,3.6,59.6
2012,72,45.9,39.7,38,99.9,36.2,9,59
2012,75,48.4,37.3,39.8,90.9,34.4,4.5,57.4
2012,77,45.8,41.3,37.4,94.5,35.4,10,57.3
2012,81,47,45.7,33.5,94.5,36.4,4.5,56.8
2012,86,36.2,36.3,42.3,93.5,45.6,16.1,55.4
2012,89,42.6,33.1,36.2,94.1,27.3,13.8,55
2012,94,41.1,35.3,43.6,85.8,28.5,8.4,54.5
2012,96,47.4,34,49.6,73.6,28,15.7,54.4
2012,97,45.1,28.4,43,78.3,86,12.7,54.2
2012,110,28.5,29.8,36.6,99.9,29.5,22.7,52.5
2012,114,37.7,56.5,28.7,88.3,29.2,10.9,51.4
2012,127,38.2,26.1,39,80.3,28.7,29.9,49.9
2012,135,37,26.4,42.2,74.7,34.7,10.2,49
2012,143,27.8,30,30.9,89.6,31,22,47.5
2012,144,31.7,32.7,40.4,73.6,49,15,47.4
2012,146,40,19.7,18.9,90.7,27,11.8,47
2012,150,25.3,40.3,27.3,90.2,33.7,12.6,46.7
2012,162,36.4,17.2,21.6,86.1,49.1,4.6,45.8
2012,164,42.3,36,51.8,45.7,43.8,21.4,45.7
2012,167,53.3,27.2,43.9,43.3,38.6,9.2,45.2
2012,180,26.4,29.8,37.2,66.7,98,15.9,43.8
2012,184,32.8,28.3,30.1,70.4,49.2,17.4,43.4
2012,195,26.5,41.4,18.9,83.5,24.2,17.4,42.4
2013,1,96.3,59.8,99.4,99.7,95.6,6.9,95.5
2013,2,95,56.6,98.8,99.3,62.4,7.8,93.7
2013,4,94.9,63.7,98.6,99.2,39.9,8.9,93.6
2013,5,92.9,81.6,89.2,99.9,92.9,9,93.1
2013,6,89.5,54.5,99.4,99.8,79.5,8.4,92.7
2013,9,85.1,49.7,99.3,99.3,65.4,16.4,90.5
2013,11,93.2,54.7,92.5,94.8,38.2,4.4,89.2
2013,15,90,38.1,89.4,96.2,43.7,6.5,86.6
2013,16,81.8,57.3,85.5,95.3,100,3.6,85.6
2013,18,77,53.8,92.1,91.8,39.5,10.2,83.3
2013,19,77.6,33.8,87.3,98.2,64.4,13.8,83.1
2013,20,76.1,47.6,91.4,91.6,53.9,9,82.6
2013,22,71.8,51.4,87,95.5,55.9,13.1,81.5
2013,23,72.3,45.8,81.5,97,100,4.8,81.2
2013,24,74.7,39.1,81.3,97,41.3,11.8,79.9
2013,25,70.2,66.3,79.5,90.3,74.9,20.1,78.8
2013,25,75.5,42.1,80.7,91,57.9,17.4,78.8
2013,31,76.1,29.8,80.1,88.2,54.8,10.8,76.9
2013,35,56.1,58.3,73.5,99.4,100,27.3,75.6
2013,38,63.4,34.2,79,96.2,43.9,6.5,75.2
2013,41,73.8,38.7,67.4,89.2,29.5,6.8,72.8
2013,42,70.4,32.9,69.3,90.1,40,7.3,72.4
2013,44,67.9,51.7,71.6,82.7,52.5,13.9,71.8
2013,51,63.7,36.9,60.3,94.1,29.9,10.1,68.9
2013,53,66.7,46.3,60.9,80.1,49.5,13.4,67
2013,54,65.4,39.2,50.9,94.2,30.6,8.6,66.8
2013,56,68.4,43.4,57.1,81.9,33.5,12.9,66.3
2013,61,55,34.9,69.2,81.4,59.7,12.4,65.8
2013,72,57.1,31.7,62.6,77.8,52.8,13,62.9
2013,75,49.5,59,39.3,100,36.5,9,62
2013,76,54.6,29.4,55.1,85.2,39.3,5.8,61.7
2013,79,56.7,36.6,44.4,90.9,38.3,4.5,61.3
2013,87,52.6,39.6,36.4,94.8,39.4,10,59.1
2013,94,51.8,36.8,56.8,73.8,32.6,15.7,58.3
2013,94,48.3,41.6,39.6,93.5,29.8,13.8,58.3
2013,96,44,35.2,47.2,90.3,42.1,16.1,58.2
2013,97,44.9,40.4,51.4,83.9,32.1,8.4,57.9
2013,98,47,31.3,53.7,76.9,83.9,12.7,57.7
2013,99,50.9,27.9,61.3,69.5,35.8,17.3,57.5
2013,102,46,45.9,37.8,92.3,39.6,4.5,57.2
2013,106,51.5,27.5,40.9,85,53,3.6,56.6
2013,118,55.9,27.9,43,73.5,48.6,10.2,55
2013,124,47.5,31.5,35.9,87,38.6,6.6,54.4
2013,134,43.3,25.2,41.3,81,63.3,16.9,53.2
2013,148,38.4,27.4,45.2,79.9,31.8,29.9,51.9
2013,154,29.1,62.8,32.5,90.3,33.5,22,51.1
2013,156,46.4,47.2,58.3,49.3,45.5,21.4,50.9
2013,162,38.8,52.8,29.9,82.9,31.6,10.9,50.2
2013,165,30,37.3,41.6,76.6,97.7,15.9,49.7
2013,167,32.6,46.8,32.2,85.2,40,22.8,49.5
2013,168,48.1,36.6,28,77.1,30,12,49.4
2013,174,36.2,32.9,40.2,73,66.8,15,48.9
2013,184,24.9,51.2,22.5,94.3,66,18.2,48
2013,184,53.9,29.1,42.6,52.9,40.4,9.2,48
2013,184,41.3,25.8,22.6,87.1,29.9,11.8,48
2013,190,37.5,19,22.4,89.1,48,4.6,47.3
2013,193,35.7,30.5,34.3,74.9,44,17.4,46.9
2013,198,46.3,50.7,40.6,52.1,42.4,19,46.6
2014,1,94.4,65.8,98.2,99.8,91.2,6.9,94.9
2014,2,95.3,66.2,98.5,99.1,40.6,8.9,93.9
2014,4,94.7,68,96.8,99.1,61.3,7.8,93.8
2014,5,92.9,82,89,100,94.3,9,93
2014,6,89.9,59.6,97.6,99.7,80.5,8.4,92.7
2014,8,83.2,57.3,97.5,99.3,59.5,16.4,89.8
2014,11,89.5,57.6,90.5,93.5,38.7,4.4,87.4
2014,15,75.7,59.3,85.1,95,100,3.6,83.7
2014,16,79.8,40.6,81.2,95,45.2,6.5,81
2014,17,73.9,50,73,96.7,100,4.8,79.3
2014,18,70,49.5,86.2,90.8,53.5,9,79.2
2014,19,72.1,55.6,83.8,90.8,35.8,10.2,79.1
2014,22,70.2,34.4,76,97.1,61.9,13.8,77.1
2014,24,63.1,58.1,77.4,93.9,52.5,13.1,76
2014,25,65.6,43.2,69.2,95.6,43.1,11.8,73.4
2014,27,64.7,42.4,69,91.3,59.6,17.4,72.2
2014,28,59.4,67.8,68.6,87.9,71.3,20.1,71.6
2014,30,69.8,32.3,67.7,87.2,51.2,10.8,71.1
2014,33,47.8,61.8,58.2,99.4,86.7,27.3,68.4
2014,40,65.4,41.8,58.4,87.9,29.9,6.8,67.4
2014,40,52,35.6,63,96.7,48.4,6.5,67.4
2014,47,57.6,35,55.3,90.2,39.1,7.3,64.5
2014,49,55.3,33.7,65.9,79.4,60,12.4,64.2
2014,50,56.5,44.2,46.1,95.3,31.1,8.6,63.5
2014,52,55.4,37.7,52,91.3,33.5,10.1,63.2
2014,52,55.5,53.7,56.4,81.2,51.3,13.9,63.2
2014,59,58.3,48.1,52.9,79.4,47.7,13.4,62
2014,65,44.1,67.7,35.5,99.9,35.2,9,59.8
2014,70,58.7,43.4,43.2,81.2,34.6,12.9,59
2014,78,48.6,29.4,45.4,84.4,39.4,5.8,56.7
2014,80,50.4,42.4,31.6,90.8,43.2,4.5,56.1
2014,80,46.7,43.4,32.1,93.9,39.1,10,56.1
2014,83,50,52.6,49.1,71.5,32,15.7,55.9
2014,88,46.8,28.6,38.7,86.5,51,3.6,55
2014,90,41.2,47.5,34.7,91.8,31.2,13.8,54.7
2014,93,37.1,36.4,40.8,89.7,44.9,16.1,54.1
2014,95,42.8,50.7,29.9,89.7,41.4,4.5,53.6
2014,103,43.4,31.4,50.1,70.4,35.4,17.3,52.4
2014,103,39.4,38,44.4,74.6,82.3,12.7,52.4
2014,108,39,42.4,37.2,84.4,32.1,8.4,52.2
2014,112,49.7,30.2,33.9,77.5,49.4,10.2,51.8
2014,126,38.5,32.7,34.5,83.6,42.3,6.6,50.5
2014,132,40.7,33.1,38.9,74.6,52,13,50.1
2014,135,26.3,54.4,26.4,96.2,49.4,17.4,50
2014,139,22.7,47.3,27.2,97.1,74.8,18.2,49.5
2014,143,39.4,25.5,36.1,76.6,61.3,16.9,49.1
2014,146,33.8,28.6,35.9,83.6,31.4,29.9,48.9
2014,148,25.9,62.2,25.8,91.8,37.6,22,48.7
2014,159,43,46.8,50.2,48.6,47.5,21.4,47.2
2014,160,51.9,43.6,25.6,62.3,71.9,8.5,47
2014,164,28.8,50.6,24.3,86.5,36.8,12.6,46.6
2014,174,27,37.1,35.5,73.6,98.1,15.9,46
2014,176,40.2,55.4,39.3,56.2,39.4,19,45.9
2014,178,32.5,57.8,22.9,80.3,32.3,10.9,45.8
2014,180,36.1,23.7,21.8,85.1,38.8,4.6,45.7
2014,181,30.7,35.6,35.5,71.5,65.6,15,45.6
2014,183,35.6,38.8,32.4,71.5,28.2,17.4,45.5
2014,184,34.5,48.5,19.8,82,34.5,15.1,45.4
2014,188,25.5,46.8,28.6,81.2,44.4,22.8,45.2
2014,191,45.5,43.3,34.9,56.2,31.1,9.2,45
2014,194,45.6,36,26.3,65.9,30,12,44.8
2014,197,15.9,61.5,14.5,99,44.7,13.7,44.6
2015,1,92.2,67,98.1,99.7,89.1,6.9,94.3
2015,2,92.9,67.6,98.6,98.9,44,8.9,93.3
2015,4,91.5,69,96.7,99.1,63.1,7.8,92.9
2015,6,89.1,84.3,88.2,100,95.7,9,91.9
2015,7,86.6,61.2,94.7,99.6,82.7,8.4,90.9
2015,8,84.2,58.5,96.7,99.1,44.8,16.4,89.5
2015,9,88.5,59.8,90.8,94,42,4.4,87.5
2015,11,83.9,65.2,89.9,97.3,36.8,6.9,87.1
2015,15,75.6,59.7,84.2,93.6,100,3.6,83
2015,16,79,43.8,82,94.4,43,6.5,81
2015,17,77,49.8,86.5,88.9,55.7,9,80.9
